Date,Island,Survey,BTS,ForestCover,Prey,Temperature,Region
7/19/2022,23,5,0,70,39,35,NW
7/24/2022,23,6,0,70,39,34,NW
7/4/2022,24,1,0,67,5,27,NW
7/8/2022,24,2,0,67,5,35,NW
7/12/2022,24,3,0,67,5,26,NW
7/15/2022,24,4,0,67,5,24,NW
7/20/2022,24,5,0,67,5,35,NW
7/25/2022,24,6,0,67,5,34,NW
7/3/2022,25,1,0,55,50,25,SW
7/7/2022,25,2,0,55,50,26,SW
7/11/2022,25,3,0,55,50,32,SW
7/14/2022,25,4,1,55,50,36,SW
7/19/2022,25,5,1,55,50,35,SW
7/24/2022,25,6,0,55,50,34,SW
7/4/2022,26,1,1,41,45,27,SW
7/8/2022,26,2,1,41,45,35,SW
7/12/2022,26,3,0,41,45,26,SW
7/15/2022,26,4,0,41,45,24,SW
7/20/2022,26,5,1,41,45,35,SW
7/25/2022,26,6,1,41,45,34,SW
7/3/2022,27,1,0,6,7,25,SW
7/7/2022,27,2,0,6,7,26,SW
7/11/2022,27,3,0,6,7,32,SW
7/14/2022,27,4,0,6,7,36,SW
7/19/2022,27,5,0,6,7,35,SW
7/24/2022,27,6,0,6,7,34,SW
7/4/2022,28,1,0,49,55,27,SW
7/8/2022,28,2,0,49,55,35,SW
7/12/2022,28,3,0,49,55,26,SW
7/15/2022,28,4,1,49,55,24,SW
7/20/2022,28,5,1,49,55,35,SW
7/25/2022,28,6,0,49,55,34,SW
