Date,Stream,Survey,HGM,RockCover,Width,Observers
5/21/2021,Y,2,0,4,16,2
5/22/2021,Y,3,0,4,16,3
5/14/2021,Z,1,0,0,8,1
5/15/2021,Z,2,0,0,8,2
5/16/2021,Z,3,0,0,8,3
5/20/2021,AA,1,0,7,40,1
5/21/2021,AA,2,0,7,40,2
5/22/2021,AA,3,0,7,40,3
5/14/2021,BB,1,1,19,14,2
5/15/2021,BB,2,0,19,14,3
5/16/2021,BB,3,0,19,14,4
5/24/2021,CC,1,0,13,33,1
5/25/2021,CC,2,0,13,33,3
5/26/2021,CC,3,0,13,33,4
5/28/2021,DD,1,1,27,22,1
5/29/2021,DD,2,0,27,22,1
5/30/2021,DD,3,0,27,22,3
5/20/2021,EE,1,0,34,26,2
5/21/2021,EE,2,0,34,26,2
5/22/2021,EE,3,0,34,26,1
5/14/2021,FF,1,0,22,17,1
5/15/2021,FF,2,0,22,17,3
5/16/2021,FF,3,0,22,17,4
5/24/2021,GG,1,0,37,11,2
5/25/2021,GG,2,0,37,11,3
5/26/2021,GG,3,0,37,11,4
5/28/2021,HH,1,0,51,40,2
5/29/2021,HH,2,1,51,40,3
5/30/2021,HH,3,0,51,40,3
5/20/2021,II,1,0,44,40,1
5/21/2021,II,2,0,44,40,2
5/22/2021,II,3,0,44,40,3
5/14/2021,JJ,1,1,50,38,1
5/15/2021,JJ,2,0,50,38,3
5/16/2021,JJ,3,0,50,38,4
5/24/2021,KK,1,0,55,47,2
5/25/2021,KK,2,0,55,47,3
5/26/2021,KK,3,0,55,47,4
5/28/2021,LL,1,1,62,54,1
5/29/2021,LL,2,1,62,54,2
5/30/2021,LL,3,0,62,54,4
5/20/2021,MM,1,0,67,7,1
5/21/2021,MM,2,0,67,7,3
5/22/2021,MM,3,0,67,7,3
5/14/2021,NN,1,1,77,55,2
5/15/2021,NN,2,1,77,55,2
5/16/2021,NN,3,1,77,55,4
5/24/2021,OO,1,0,78,13,1
5/25/2021,OO,2,0,78,13,2
5/26/2021,OO,3,0,78,13,4
5/28/2021,PP,1,0,76,54,1
5/29/2021,PP,2,1,76,54,3
5/30/2021,PP,3,1,76,54,3
5/20/2021,QQ,1,0,69,2,2
5/21/2021,QQ,2,0,69,2,3
5/22/2021,QQ,3,0,69,2,4
5/14/2021,RR,1,0,60,43,1
5/15/2021,RR,2,1,60,43,2
5/16/2021,RR,3,0,60,43,3
5/24/2021,SS,1,0,53,42,1
5/25/2021,SS,2,1,53,42,2
5/26/2021,SS,3,1,53,42,4
5/28/2021,TT,1,0,46,46,1
5/29/2021,TT,2,0,46,46,1
5/30/2021,TT,3,1,46,46,2
5/20/2021,UU,1,0,32,48,1
5/21/2021,UU,2,0,32,48,3
5/22/2021,UU,3,0,32,48,4
5/14/2021,VV,1,0,27,52,2
5/15/2021,VV,2,0,27,52,3
5/16/2021,VV,3,0,27,52,4
5/24/2021,WW,1,0,19,10,1
5/25/2021,WW,2,0,19,10,3
5/26/2021,WW,3,0,19,10,4
5/28/2021,XX,1,0,17,23,1
5/29/2021,XX,2,0,17,23,2
5/30/2021,XX,3,0,17,23,4
5/20/2021,YY,1,0,4,17,1
5/21/2021,YY,2,0,4,17,3
5/22/2021,YY,3,0,4,17,3
5/14/2021,ZZ,1,0,1,6,1
5/15/2021,ZZ,2,0,1,6,2
5/16/2021,ZZ,3,0,1,6,1
